Estratégia,Retorno total,Retorno anual,Volatilidade anual,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio
ML Strategy,1593.38%,24.07%,24.28%,0.91,1.23,-30.50%,0.79
SPY Buy & Hold,365.75%,12.44%,17.00%,0.61,0.75,-34.10%,0.36
